en_name,en_time,en_len,zh_name,zh_time,need_update
Accumulator,2019-11-07 12:43:07,5690,Accumulator/zh,2018-11-18 11:09:30,True
Achievements,2021-02-18 14:21:11,6558,Achievements/zh,2018-07-05 09:45:32,True
Active provider chest,2020-09-24 09:10:58,1552,Active provider chest/zh,2018-06-28 06:28:31,True
Advanced circuit,2019-04-07 10:58:14,1181,Advanced circuit/zh,2018-11-20 11:38:54,True
Advanced electronics (research),2017-09-04 12:54:02,230,Advanced electronics (research)/zh,2018-07-12 07:02:06,False
Advanced electronics 2 (research),2018-11-20 11:39:35,232,Advanced electronics 2 (research)/zh,2022-01-22 05:28:54,False
Advanced material processing (research),2017-07-19 15:00:25,129,Advanced material processing (research)/zh,2018-07-12 11:01:15,False
Advanced material processing 2 (research),2017-07-31 18:47:20,281,Advanced material processing 2 (research)/zh,2018-07-12 11:03:59,False
Advanced oil processing (research),2017-07-19 15:00:39,696,Advanced oil processing (research)/zh,2018-07-12 11:41:51,False
Alerts,2020-11-27 13:30:04,3036,Alerts/zh,2018-07-10 06:14:29,True
Alien artifact,2017-08-17 12:32:01,1102,Alien artifact/zh,2017-09-10 19:29:20,False
Alien technology (research),2017-07-19 15:00:58,374,Alien technology (research)/zh,2017-08-08 19:42:17,False
Ammunition,2021-03-19 14:31:27,920,Ammunition/zh,2018-07-17 07:04:46,True
Application directory,2022-01-17 15:25:59,3957,Application directory/zh,2019-03-14 12:28:45,True
Arithmetic combinator,2021-12-17 17:18:02,4782,Arithmetic combinator/zh,2018-07-10 07:54:08,True
Armor,2021-07-11 21:58:57,427,Armor/zh,2018-07-18 23:42:50,True
Artillery,2018-06-23 09:05:18,164,Artillery/zh,2018-07-04 10:10:56,False
Artillery (research),2017-12-16 17:18:48,109,Artillery (research)/zh,2018-07-12 09:54:56,False
Artillery shell,2018-12-03 12:04:52,833,Artillery shell/zh,2018-11-20 13:35:21,True
Artillery shell range (research),2019-04-12 04:28:33,763,Artillery shell range (research)/zh,2019-02-28 12:26:03,True
Artillery shell shooting speed (research),2019-04-12 04:28:46,817,Artillery shell shooting speed (research)/zh,2019-02-28 12:26:03,True
Artillery targeting remote,2020-11-25 15:24:55,1200,Artillery targeting remote/zh,2018-07-25 03:44:28,True
Artillery turret,2021-03-01 01:44:35,4171,Artillery turret/zh,2018-06-27 10:07:19,True
Artillery wagon,2021-04-09 09:14:01,7213,Artillery wagon/zh,2021-03-19 15:31:36,True
Assembling machine,2020-11-28 07:29:40,409,Assembling machine/zh,2018-06-23 08:54:12,True
Assembling machine 1,2021-03-15 17:35:20,1937,Assembling machine 1/zh,2017-09-10 09:37:48,True
Assembling machine 2,2021-03-15 17:34:14,2610,Assembling machine 2/zh,2018-11-20 13:59:44,True
Assembling machine 3,2021-03-15 17:35:57,2198,Assembling machine 3/zh,2017-09-10 09:38:17,True
Atomic bomb,2021-10-29 16:56:36,1382,Atomic bomb/zh,2018-07-19 03:09:09,True
Atomic bomb (research),2018-08-04 04:12:27,208,Atomic bomb (research)/zh,2022-01-22 04:53:40,False
Automated rail transportation (research),2017-07-19 15:02:05,346,Automated rail transportation (research)/zh,2018-07-12 12:28:05,False
Automation (research),2021-02-16 11:10:00,363,Automation (research)/zh,2018-07-12 07:07:46,True
Automation 2 (research),2021-03-11 02:42:04,240,Automation 2 (research)/zh,2022-01-22 05:42:23,False
Automation 3 (research),2018-12-01 21:26:14,250,Automation 3 (research)/zh,2022-01-22 05:44:44,False
Automation science pack,2019-09-16 15:35:37,1389,Automation science pack/zh,2019-02-26 17:24:40,True
Automobilism (research),2017-07-19 15:02:32,180,Automobilism (research)/zh,2018-07-12 12:30:35,False
Balancer mechanics,2020-11-23 11:18:07,5421,Balancer mechanics/zh,2019-12-03 11:56:54,True
Barrel,2020-09-17 05:20:31,5314,Barrel/zh,2018-07-11 11:18:24,True
Battery,2020-09-24 02:01:31,1208,Battery/zh,2018-11-17 12:00:44,True
Battery (research),2022-01-22 05:05:35,222,Battery (research)/zh,2022-01-22 05:09:55,False
Beacon,2020-08-17 10:39:04,10713,Beacon/zh,2018-07-29 07:39:27,True
Belt immunity equipment,2020-08-15 03:09:07,569,Belt immunity equipment/zh,2021-10-01 17:29:49,False
